ParkName,hours,visits,hours_per_visit,latitude,longitude,OBJECTID,UNIT_CODE,UNIT_NAME,DATE_EDIT,STATE,REGION,GNIS_ID,UNIT_TYPE,CREATED_BY,PARKNAME,CreationDate,Creator,EditDate,Editor,GlobalID,AreaID
Acadia NP,"26,042,074","4,069,098",6.39996235,44.33793628,-68.24546469,404,ACAD,Acadia National Park,2013-12-18T00:00:00Z,ME,NE,578853,National Park,Lands,Acadia,2022-04-07T15:52:34Z,NPS_WASO_LANDS,2022-04-07T15:52:34Z,NPS_WASO_LANDS,57f917eb-2ebf-4aa0-9790-4dbe346522ae,4
Arches NP,"6,272,244","1,806,865",3.471340692,38.70792359,-109.595467,324,ARCH,Arches National Park,2018-04-09T00:00:00Z,UT,IM,1455716,National Park,Lands,Arches,2022-04-07T15:52:34Z,NPS_WASO_LANDS,2022-04-07T15:52:34Z,NPS_WASO_LANDS,89dca693-31b4-4cdb-a04e-cb8b10e121e1,52
Badlands NP,"5,190,774","1,224,226",4.240045547,43.83406957,-102.3939551,141,BADL,Badlands National Park,2019-07-19T00:00:00Z,SD,MW,1265096,National Park,Lands,Badlands,2022-04-07T15:52:34Z,NPS_WASO_LANDS,2022-04-07T15:52:34Z,NPS_WASO_LANDS,f021a030-b119-4ca7-b9c7-81d94d40030b,49
Big Bend NP,"11,019,363","581,220",18.9590224,29.33383589,-103.1940843,195,BIBE,Big Bend National Park,2018-01-09T00:00:00Z,TX,IM,1377082,National Park,Lands,Big Bend,2022-04-07T15:52:34Z,NPS_WASO_LANDS,2022-04-07T15:52:34Z,NPS_WASO_LANDS,983f7a37-306f-4ae8-a2e8-c52240838b75,289
Biscayne NP,"2,223,481","705,655",3.150946284,25.46969386,-80.21830427,229,BISC,Biscayne National Park,2010-12-02T00:00:00Z,FL,SE,294450,National Park,Lands,Biscayne,2022-04-07T15:52:34Z,NPS_WASO_LANDS,2022-04-07T15:52:34Z,NPS_WASO_LANDS,78353244-489d-4be4-9fdc-cd0f9eb2d927,184
Black Canyon of the Gunnison NP,"1,861,523","308,910",6.026101453,38.57941029,-107.7437017,77,BLCA,Black Canyon of the Gunnison National Park,2018-02-15T00:00:00Z,CO,IM,203271,National Park,Lands,Black Canyon of the Gunnison,2022-04-07T15:52:34Z,NPS_WASO_LANDS,2022-04-07T15:52:34Z,NPS_WASO_LANDS,11eb9c52-21d6-4c3e-baa4-3e0002167599,54
Bryce Canyon NP,"11,579,622","2,104,600",5.502053597,37.57080118,-112.1856194,379,BRCA,Bryce Canyon National Park,2008-03-27T00:00:00Z,UT,IM,1450197,National Park,Lands,Bryce Canyon,2022-04-07T15:52:34Z,NPS_WASO_LANDS,2022-04-07T15:52:34Z,NPS_WASO_LANDS,3372f8e1-5b1c-4058-8ece-34d9e3a8703f,79
Canyonlands NP,"6,133,064","911,594",6.727845949,38.27207876,-109.8831572,263,CANY,Canyonlands National Park,2010-04-26T00:00:00Z,UT,IM,1448008,National Park,Lands,Canyonlands,2022-04-07T15:52:34Z,NPS_WASO_LANDS,2022-04-07T15:52:34Z,NPS_WASO_LANDS,312c70af-1c71-4f4a-9128-87d8a0e4f833,51
Capitol Reef NP,"2,122,453","1,405,353",1.510263258,38.17060807,-111.1427341,356,CARE,Capitol Reef National Park,2012-12-03T00:00:00Z,UT,IM,1434866,National Park,Lands,Capitol Reef,2022-04-07T15:52:34Z,NPS_WASO_LANDS,2022-04-07T15:52:34Z,NPS_WASO_LANDS,a49ba366-5b08-4e1c-a033-578fe2f14f87,80
Carlsbad Caverns NP,"1,277,958","349,244",3.65921247,32.12007307,-104.6012544,158,CAVE,Carlsbad Caverns National Park,2017-06-22T00:00:00Z,NM,IM,904780,National Park,Lands,Carlsbad Caverns,2022-04-07T15:52:34Z,NPS_WASO_LANDS,2022-04-07T15:52:34Z,NPS_WASO_LANDS,ceec6b66-a3e4-4bf0-923d-f67fed8699c3,291
